id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
5;emotions;True;meka.classifiers.multilabel.CDN -Ic 81 -I 785;weka.classifiers.functions.VotedPerceptron -- -I 6 -M 46224 -E 4.200000000000002;0.5044300000000002;4328496.412744569
6;emotions;True;meka.classifiers.multilabel.BPNN -E 550 -H 54 -r 0.016 -m 0.7;;0.5260000000000002;78771.00000000076
7;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
8;emotions;False;meka.classifiers.multilabel.MCC -Iy 53 -Is 841 -P 'Hamming loss';weka.classifiers.lazy.KStar -- -B 22 -M n;0.6139899999999997;4940240.77714496
9;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
10;emotions;False;meka.classifiers.multilabel.RAkEL -N 3 -P 3 -k 1 -M 7;weka.classifiers.trees.RandomTree -- -M 12 -K 23 -depth 20 -N 0;0.52195;58335.9779097033
11;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
12;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
13;emotions;True;meka.classifiers.multilabel.PS -P 5 -N 5;"weka.classifiers.functions.SMO -- -C 0.6 -N 0 -M -K ""weka.classifiers.functions.supportVector.Puk -O 0.6 -S 1.5000000000000002""";0.5742300000000001;1211766.0392343793
14;emotions;True;meka.classifiers.multilabel.BPNN -E 491 -H 54 -r 0.075 -m 0.7;;0.5533500000000001;78783.73750455808
15;emotions;False;meka.classifiers.multilabel.MCC -Iy 53 -Is 800 -P 'Hamming loss';weka.classifiers.trees.RandomTree -- -M 22 -K 25 -depth 7 -N 0;0.5655699999999999;35018.58937015673
16;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
17;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
18;emotions;True;meka.classifiers.multilabel.CDN -Ic 81 -I 785;weka.classifiers.functions.VotedPerceptron -- -I 6 -M 46224 -E 4.200000000000002;0.5044300000000002;4328496.412744569
19;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 0 -depth 2;0.5980099999999993;417482.22147020703
20;emotions;True;meka.classifiers.multilabel.BPNN -E 550 -H 54 -r 0.016 -m 0.7;;0.5260000000000002;78771.00000000076
21;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
